,Modelname,Group,test_accuracy_best_val_acc,test_accuracy_best_val_loss,test_accuracy_terminal,test_loss_best_val_acc,test_loss_best_val_loss,test_loss_terminal,test_per_class_accuracy_best_val_acc,test_per_class_accuracy_best_val_loss,test_per_class_accuracy_terminal,train_accuracy,train_loss,train_per_class_accuracy,val_accuracy,val_loss,val_per_class_accuracy
231,VGGAdapted_pretrained_True_aug_True_lr_0.0001_wd_0.0001_g_0.96,VGGAdapted,0.7523809523809524,0.7619047619047619,0.7428571428571429,1.476168896841063,1.4756817189086828,1.616244219408171,0.7523809523809524,0.7619047619047619,0.7428571428571429,1.0,0.000547090060666026,1.0,0.953074433656958,0.2096749399653048,0.9583204528057468
232,VGG_pretrained_True_aug_False_lr_1e-05_wd_1e-05_g_0.97,VGG,0.8,0.8,0.8,0.4727346386937868,0.4635139063710258,0.471644410207158,0.7999999999999999,0.7999999999999999,0.8000000000000002,1.0,0.0009509871292298444,1.0,0.8823529411764706,0.283240185064428,0.8727272727272727
233,VGG_pretrained_True_aug_False_lr_1e-05_wd_0.01_g_0.98,VGG,0.8095238095238095,0.8,0.8,0.47513741219327565,0.4631955027580261,0.47436490385305313,0.8095238095238096,0.7999999999999999,0.8000000000000002,1.0,0.0007376888516743332,1.0,0.8823529411764706,0.28159791581770954,0.8727272727272727
234,VGG_pretrained_False_aug_False_lr_0.0001_wd_1e-05_g_0.97,VGG,0.41904761904761906,0.4380952380952381,0.4857142857142857,2.642642066592262,1.399696201369876,3.323222657612392,0.41904761904761906,0.4380952380952381,0.4857142857142857,0.9851301115241636,0.03813031086608158,0.9854747635848116,0.5147058823529411,2.836040230358348,0.48892773892773894
235,VGG_pretrained_False_aug_True_lr_0.0001_wd_0.01_g_0.95,VGG,0.5238095238095238,0.5047619047619047,0.5333333333333333,4.551310001100813,1.902417516708374,4.554744554701306,0.5238095238095238,0.5047619047619047,0.5333333333333333,0.997974888618874,0.0043617102404080905,0.9932485062288624,0.7928802588996764,1.2408133656461648,0.6547963404581052
236,VGGAdapted_pretrained_True_aug_False_lr_1e-05_wd_0.001_g_0.95,VGGAdapted,0.7904761904761904,0.780952380952381,0.7904761904761904,0.4907397051652273,0.4903268805571965,0.46519381411018823,0.7904761904761904,0.780952380952381,0.7904761904761904,1.0,0.0027612010120902364,1.0,0.9264705882352942,0.225292625672677,0.9181818181818184
237,VGG_pretrained_True_aug_True_lr_1e-05_wd_1e-05_g_0.98,VGG,0.7619047619047619,0.7714285714285715,0.7619047619047619,1.1223115155384653,1.090558149062452,1.163614405886758,0.7619047619047619,0.7714285714285715,0.7619047619047619,1.0,0.0017313456334486384,1.0,0.93042071197411,0.2703432526837275,0.9337517664723546
238,VGG_pretrained_True_aug_True_lr_1e-05_wd_0.01_g_0.99,VGG,0.7714285714285715,0.7619047619047619,0.7619047619047619,1.1222980482947258,1.101344217892204,1.1924888180125328,0.7714285714285714,0.7619047619047619,0.7619047619047619,1.0,0.0014826697810394966,1.0,0.93042071197411,0.27222250737129294,0.9337517664723546
239,VGG_pretrained_False_aug_True_lr_0.0001_wd_1e-05_g_0.98,VGG,0.5333333333333333,0.4476190476190477,0.5333333333333333,5.074082129342216,2.2560958964484077,5.074082129342216,0.5333333333333333,0.4476190476190477,0.5333333333333333,0.9918995544754962,0.021430933265286695,0.9916747022612492,0.7702265372168284,1.5129916529053624,0.6474268386033092
240,VGGAdapted_pretrained_True_aug_True_lr_1e-05_wd_0.001_g_0.96,VGGAdapted,0.780952380952381,0.780952380952381,0.7523809523809524,0.950601438326495,0.950601438326495,1.2187549436664475,0.780952380952381,0.780952380952381,0.7523809523809524,1.0,0.0017613824600268588,1.0,0.9288025889967636,0.25484558284089787,0.932563077783666
241,VGGAdapted_pretrained_False_aug_True_lr_0.001_wd_1e-05_g_0.95,VGGAdapted,0.45714285714285713,0.4095238095238095,0.45714285714285713,315882166391.85486,38704203445.328606,647857548572.546,0.45714285714285713,0.4095238095238096,0.45714285714285713,0.951397326852977,0.13505624002920755,0.9420389146663094,0.6796116504854369,3158549831337.5483,0.5149414120002356
242,VGGAdapted_pretrained_False_aug_False_lr_0.001_wd_0.01_g_0.95,VGGAdapted,0.4666666666666667,0.4666666666666667,0.4476190476190477,575626523.7896676,575626523.7896676,137203905.99029675,0.4666666666666666,0.4666666666666666,0.4476190476190477,0.9628252788104088,0.15253771481460798,0.9570405007007876,0.36764705882352944,46790032.22359851,0.3498834498834498
243,VGG_pretrained_False_aug_False_lr_1e-05_wd_0.0001_g_0.99,VGG,0.49523809523809526,0.5142857142857142,0.49523809523809526,1.5556117199716113,1.04731567019508,2.213158437183925,0.49523809523809526,0.5142857142857143,0.49523809523809526,1.0,0.002194900385045263,1.0,0.5294117647058824,1.833808415076312,0.547902097902098
244,VGGAdapted_pretrained_True_aug_False_lr_0.0001_wd_0.0001_g_0.96,VGGAdapted,0.8380952380952381,0.8,0.8285714285714286,0.5151422582921528,0.5034753851237751,0.4810770514465514,0.8380952380952381,0.8000000000000002,0.8285714285714286,0.9962825278810408,0.013862694803946462,0.9953703703703703,0.8676470588235294,0.2938381652621662,0.853030303030303
245,VGG_pretrained_False_aug_True_lr_1e-05_wd_1e-05_g_0.95,VGG,0.5238095238095238,0.5619047619047619,0.5333333333333333,2.5339639374188017,1.7105648841176715,2.659917749961217,0.5238095238095238,0.5619047619047619,0.5333333333333333,1.0,0.00214515521076767,1.0,0.8155339805825242,0.8152410289616261,0.6964390861449686
246,VGGAdapted_pretrained_False_aug_True_lr_0.001_wd_0.01_g_0.96,VGGAdapted,0.49523809523809526,0.34285714285714286,0.47619047619047616,20.157871271315074,1.596559915088472,321.3904104959397,0.49523809523809526,0.3428571428571428,0.4761904761904762,0.8606723369785338,0.34177604629086694,0.7906227313066126,0.6488673139158576,31566867131.503597,0.4838975004416181
247,VGG_pretrained_True_aug_False_lr_1e-05_wd_1e-05_g_0.98,VGG,0.8095238095238095,0.8,0.8,0.474605639846552,0.4623427432207834,0.4740427702665329,0.8095238095238096,0.7999999999999999,0.8000000000000002,1.0,0.0007339961437091273,1.0,0.8823529411764706,0.2820544348043554,0.8727272727272727
